,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
358,2018,3,Tierra Del Fuego,19365,22649,1502,1,20470,45564
359,2018,3,Tucumán,161209,9280,110,252,3150,171166
360,2018,2,Buenos Aires,1450203,1807868,143626,71256,277460,3500699
361,2018,2,Capital Federal,342431,977916,35610,3908,93210,1369186
362,2018,2,Catamarca,27444,4415,15,1,22140,34089
363,2018,2,Chaco,54134,40750,562,1946,11290,98521
364,2018,2,Chubut,58935,19591,1239,14070,67290,100564
365,2018,2,Córdoba,345141,327636,13832,16355,101090,713073
366,2018,2,Corrientes,56541,39715,201,1468,320,97957
367,2018,2,Entre Ríos,104811,80376,2405,12313,800,199985
368,2018,2,Formosa,23543,7311,18,13625,570,44554
369,2018,2,Jujuy,33571,10856,23,640,430,45133
370,2018,2,La Pampa,12416,53587,8420,7011,9870,82421
371,2018,2,La Rioja,16663,34984,13,253,350,51948
372,2018,2,Mendoza,152938,36872,3084,6206,18520,200952
373,2018,2,Misiones,57265,47923,512,391,560,106147
374,2018,2,Neuquén,46633,52855,998,12649,27130,115848
375,2018,2,Río Negro,68667,32795,1252,4396,51250,112235
376,2018,2,Salta,78386,53478,678,234,13910,134167
377,2018,2,San Juan,54080,5068,826,3079,10480,64101
378,2018,2,San Luis,11104,7666,368,16,23140,21468
379,2018,2,Santa Cruz,18615,4474,585,6734,39970,34405
380,2018,2,Santa Fe,337934,304349,11354,15801,151140,684552
381,2018,2,Santiago Del Estero,26074,55935,23,1662,810,83775
382,2018,2,Tierra Del Fuego,19372,22756,531,1,20470,44707
383,2018,2,Tucumán,160315,8965,110,252,3150,169957
384,2018,1,Buenos Aires,1452061,1793884,133928,64379,311940,3475446
385,2018,1,Capital Federal,349995,968483,35535,3164,93930,1366570
386,2018,1,Catamarca,27300,4415,15,1,22140,33945
387,2018,1,Chaco,54879,40157,383,388,11300,96937
388,2018,1,Chubut,56375,19591,1194,14070,67290,97959
389,2018,1,Córdoba,349342,326894,13178,13237,112750,713926
390,2018,1,Corrientes,56937,35225,888,1334,330,94417
391,2018,1,Entre Ríos,106998,75751,3789,10776,800,197394
392,2018,1,Formosa,23556,7095,17,1603,570,32328
393,2018,1,Jujuy,33856,10456,23,28,430,44406
394,2018,1,La Pampa,10807,51389,8386,10556,19260,83064
395,2018,1,La Rioja,16960,34984,13,253,350,52245
396,2018,1,Mendoza,152931,36872,3086,6206,18520,200947
397,2018,1,Misiones,56311,46880,328,5,560,103580
398,2018,1,Neuquén,46714,55072,1000,12404,27130,117903
399,2018,1,Río Negro,68769,31712,1251,4259,51280,111119
400,2018,1,Salta,79936,51534,118,204,13910,133183
401,2018,1,San Juan,54080,5068,826,2246,10480,63268
402,2018,1,San Luis,11104,7594,368,16,23140,21396
403,2018,1,Santa Cruz,18615,4474,1799,6734,27830,34405
404,2018,1,Santa Fe,341997,300421,10674,11636,152980,680026
405,2018,1,Santiago Del Estero,26788,54594,23,1432,810,82918
406,2018,1,Tierra Del Fuego,19372,9663,531,1,20470,31614
407,2018,1,Tucumán,158611,8921,107,368,500,168057
