,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
3085,BUENOS AIRES,Lobería,Pieres,36,NO,NO,NO,NO,NO,SI,SI,NO,SI,6476040.0,-383962306181995,-58670580006548
3086,BUENOS AIRES,Lobería,San Manuel,1126,SI,NO,NO,SI,NO,SI,SI,SI,SI,6476050.0,-377892829007834,-588486476710495
3087,BUENOS AIRES,Lobería,Tamangueyú,438,NO,NO,NO,NO,NO,SI,NO,NO,NO,6476060.0,-382010112434137,-587373143964601
3088,BUENOS AIRES,Lobos,Antonio Carboni,295,SI,NO,SI,SI,NO,NO,SI,NO,NO,6483010.0,-352033088915799,-593449562581802
3089,BUENOS AIRES,Lobos,Elvira,133,NO,NO,NO,NO,NO,SI,SI,NO,NO,6483020.0,-35243272141682,-594860397931491
3090,BUENOS AIRES,Lobos,Laguna de Lobos,509,NO,NO,NO,NO,NO,NO,NO,SI,SI,6483030.0,-352747624905943,-591339060011927
3091,BUENOS AIRES,Lobos,Lobos,29868,SI,SI,SI,SI,NO,SI,SI,SI,SI,6483040.0,-351858677983922,-590957115706922
3092,BUENOS AIRES,Lobos,Salvador María,830,SI,NO,NO,SI,NO,SI,SI,NO,SI,6483050.0,-353028071422894,-591696841440203
3093,BUENOS AIRES,San Isidro,Beccar,59088,SI,SI,NO,SI,NO,SI,SI,SI,SI,6756010.0,-344674159462571,-585400343502635
3094,BUENOS AIRES,San Isidro,Boulogne Sur Mer,73842,SI,SI,NO,SI,SI,SI,SI,SI,SI,6756010.0,-344983312888498,-585700137209729
3095,BUENOS AIRES,San Isidro,Martínez,66169,SI,SI,SI,SI,SI,NO,SI,SI,SI,6756010.0,-344944230772436,-585105732755943
3096,BUENOS AIRES,San Isidro,San Isidro,45403,SI,SI,SI,SI,SI,SI,SI,SI,SI,6756010.0,-344770412162141,-5852719519996
3097,BUENOS AIRES,San Isidro,Villa Adelina,35473,SI,SI,NO,SI,NO,NO,SI,SI,SI,6756010.0,-345151197673508,-585457579220177
3098,BUENOS AIRES,San Miguel,Bella Vista,74138,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010.0,-345751401519414,-586960409885544
3099,BUENOS AIRES,San Miguel,Campo De Mayo,1525,NO,NO,NO,NO,SI,SI,NO,SI,SI,6760010.0,-345346818189868,-586513860167431
3100,BUENOS AIRES,San Miguel,Muñiz,28615,SI,SI,SI,SI,NO,NO,SI,SI,SI,6760010.0,-345557351629874,-587080227572424
3101,BUENOS AIRES,San Miguel,San Miguel,171913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010.0,-345536228677773,-587347875195953
3102,BUENOS AIRES,San Nicolás,Campos Salles,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-334010837029564,-602846972878391
