,Año,Trimestre,Provincia,Mbps (Media de bajada)
627,2015,3,Chaco,5
628,2015,3,Chubut,3
629,2015,3,Córdoba,5
630,2015,3,Corrientes,5
631,2015,3,Entre Ríos,5
632,2015,3,Formosa,4
633,2015,3,Jujuy,4
634,2015,3,La Pampa,3
635,2015,3,La Rioja,4
636,2015,3,Mendoza,4
637,2015,3,Misiones,6
638,2015,3,Neuquén,4
639,2015,3,Río Negro,4
640,2015,3,Salta,4
641,2015,3,San Juan,3
642,2015,3,San Luis,4
643,2015,3,Santa Cruz,3
644,2015,3,Santa Fe,5
645,2015,3,Santiago Del Estero,4
646,2015,3,Tierra Del Fuego,3
647,2015,3,Tucumán,5
648,2015,2,Buenos Aires,4
649,2015,2,Capital Federal,5
650,2015,2,Catamarca,4
651,2015,2,Chaco,5
652,2015,2,Chubut,3
653,2015,2,Córdoba,5
654,2015,2,Corrientes,5
655,2015,2,Entre Ríos,5
656,2015,2,Formosa,4
657,2015,2,Jujuy,3
658,2015,2,La Pampa,3
659,2015,2,La Rioja,4
660,2015,2,Mendoza,4
661,2015,2,Misiones,5
662,2015,2,Neuquén,4
663,2015,2,Río Negro,4
664,2015,2,Salta,4
665,2015,2,San Juan,3
666,2015,2,San Luis,4
667,2015,2,Santa Cruz,3
668,2015,2,Santa Fe,4
669,2015,2,Santiago Del Estero,4
670,2015,2,Tierra Del Fuego,3
671,2015,2,Tucumán,4
672,2015,1,Buenos Aires,4
673,2015,1,Capital Federal,5
674,2015,1,Catamarca,3
675,2015,1,Chaco,5
676,2015,1,Chubut,3
677,2015,1,Córdoba,4
678,2015,1,Corrientes,5
679,2015,1,Entre Ríos,4
680,2015,1,Formosa,3
681,2015,1,Jujuy,3
682,2015,1,La Pampa,3
683,2015,1,La Rioja,4
684,2015,1,Mendoza,4
685,2015,1,Misiones,5
686,2015,1,Neuquén,4
687,2015,1,Río Negro,4
688,2015,1,Salta,4
689,2015,1,San Juan,3
690,2015,1,San Luis,4
691,2015,1,Santa Cruz,3
692,2015,1,Santa Fe,4
693,2015,1,Santiago Del Estero,4
694,2015,1,Tierra Del Fuego,3
695,2015,1,Tucumán,4
696,2014,4,Buenos Aires,4
697,2014,4,Capital Federal,5
698,2014,4,Catamarca,3
699,2014,4,Chaco,4
700,2014,4,Chubut,3
701,2014,4,Córdoba,4
702,2014,4,Corrientes,4
703,2014,4,Entre Ríos,4
704,2014,4,Formosa,3
705,2014,4,Jujuy,3
706,2014,4,La Pampa,3
707,2014,4,La Rioja,4
708,2014,4,Mendoza,4
709,2014,4,Misiones,4
710,2014,4,Neuquén,4
711,2014,4,Río Negro,4
712,2014,4,Salta,4
713,2014,4,San Juan,3
714,2014,4,San Luis,4
715,2014,4,Santa Cruz,3
716,2014,4,Santa Fe,4
717,2014,4,Santiago Del Estero,3
718,2014,4,Tierra Del Fuego,3
719,2014,4,Tucumán,4
720,2014,3,Buenos Aires,4
721,2014,3,Capital Federal,4
722,2014,3,Catamarca,3
723,2014,3,Chaco,3
724,2014,3,Chubut,3
725,2014,3,Córdoba,4
726,2014,3,Corrientes,3
727,2014,3,Entre Ríos,3
728,2014,3,Formosa,3
729,2014,3,Jujuy,3
730,2014,3,La Pampa,3
731,2014,3,La Rioja,3
732,2014,3,Mendoza,4
733,2014,3,Misiones,4
734,2014,3,Neuquén,4
735,2014,3,Río Negro,3
736,2014,3,Salta,3
737,2014,3,San Juan,3
738,2014,3,San Luis,4
739,2014,3,Santa Cruz,3
740,2014,3,Santa Fe,3
741,2014,3,Santiago Del Estero,3
742,2014,3,Tierra Del Fuego,3
743,2014,3,Tucumán,3
744,2014,2,Buenos Aires,4
745,2014,2,Capital Federal,4
746,2014,2,Catamarca,3
747,2014,2,Chaco,3
748,2014,2,Chubut,3
749,2014,2,Córdoba,4
750,2014,2,Corrientes,3
751,2014,2,Entre Ríos,3
752,2014,2,Formosa,3
753,2014,2,Jujuy,3
754,2014,2,La Pampa,3
755,2014,2,La Rioja,3
756,2014,2,Mendoza,4
757,2014,2,Misiones,4
758,2014,2,Neuquén,4
759,2014,2,Río Negro,3
760,2014,2,Salta,3
761,2014,2,San Juan,3
762,2014,2,San Luis,4
763,2014,2,Santa Cruz,3
764,2014,2,Santa Fe,3
765,2014,2,Santiago Del Estero,3
766,2014,2,Tierra Del Fuego,3
767,2014,2,Tucumán,3
768,2014,1,Buenos Aires,4
769,2014,1,Capital Federal,4
770,2014,1,Catamarca,3
771,2014,1,Chaco,3
772,2014,1,Chubut,3
773,2014,1,Córdoba,3
774,2014,1,Corrientes,3
775,2014,1,Entre Ríos,3
776,2014,1,Formosa,3
777,2014,1,Jujuy,3
778,2014,1,La Pampa,3
779,2014,1,La Rioja,3
780,2014,1,Mendoza,4
781,2014,1,Misiones,3
782,2014,1,Neuquén,4
783,2014,1,Río Negro,3
784,2014,1,Salta,3
785,2014,1,San Juan,3
786,2014,1,San Luis,4
787,2014,1,Santa Cruz,3
788,2014,1,Santa Fe,3
789,2014,1,Santiago Del Estero,3
790,2014,1,Tierra Del Fuego,3
791,2014,1,Tucumán,3
